Ticker,Firm,Market Cap,ISO Code,Industry Code,,, , ,,,,
1COV.DE,Covestro AG,"7585 350,000",DE,CHM,,,,,,,,
AAL.L,Anglo American PLC,"35,532 325,635",GB,MNX,,,,,,,, 
ABBN.SW,ABB Ltd,"46,631 121,398",CH,ELQ,,, , , , , ,
ABF.L,Associated British Foods,"24,306 770,982",GB,FOA,,,,,,,,
ABI.BR,Anheuser Busch Inbev NV,"123,000 000,000",BE,BVG,,,,,,,,
ABN.AS,ABN AMRO Group NV,"15,246 800,000",NL,BNK,,,,,,,,
AC.PA,Accor,"11,274 420,500",FR,TRT,,,,,,,,
ACA.PA,Credit Agricole SA,"37,284 605,325",FR,BNK,,,,,,,,
ACS.MC,ACS Actividades de Construccion y Servicios SA,"11,217 807,250",ES,CON,,,,,,,,
AD.AS,Ahold Delhaize NV,"26,391 148,875",NL,FDR,,,,,,,,
ADP.PA,ADP Promesses,"17,427 032,100",FR,PRO,,,,,,,,
ADS.DE,Adidas AG,"58,080 556,800",DE,TEX,,,,,,,,
AENA.MC,Aena SA,"25,575 000,000",ES,TRA,,,,,,,,
AGN.AS,Aegon NV,"8523 000,416",NL,INS,,,,,,,,
AGS.BR,AGEAS,"10,450 342,320",BE,INS,,,,,,,,
AHT.L,Ashtead Group,"14,359 138,055",GB,TCD,,,,,,,,
AI.PA,L’Air Liquide S.A.,"59,445 121,800",FR,CHM,,,,,,,,
AIR.PA,Airbus SE,"101,000 000,000",FR,ARO,,,,,,,,
AKE.PA,Arkema,"7242 750,700",FR,CHM,,,,,,,,
AKZA.AS,Akzo Nobel NV,"20,643 260,000",NL,CHM,,,,,,,,
ALFA.ST,Alfa Laval AB,"9490 388,121",SE,IEQ,,,,,,,,
ALO.PA,Alstom,"9472 357,920",FR,IEQ,,,,,,,,
ALV.DE,Allianz SE,"91,110 583,200",DE,INS,,,,,,,,
AMS.MC,Amadeus IT Group SA,"31,396 310,400",ES,TSV,,,,,,,,
ASML.AS,ASML Holding NV,"112,000 000,000",NL,SEM,,,,,,,,
ASSA-B.ST,Assa Abloy B,"22,025 237,708",SE,BLD,,,,,,,,
ATCO-A.ST,Atlas Copco AB A,"29,893 459,353",SE,IEQ,,,,,,,,
ATL.MI,Atlantia SpA,"17,153 267,670",IT,TRA,,,,,,,,
ATO.PA,AtoS SE,"8115 372,400",FR,TSV,,,,,,,,
AV.L,Aviva,"19,478 435,620",GB,INS,,,,,,,,
AZN.L,AstraZeneca PLC,"118,000 000,000",GB,DRG,,,,,,,,
BA.L,BAE Systems PLC,"23,152 520,936",GB,ARO,,,,,,,,
BAER.SW,Julius Baer Group,"10,284 124,741",CH,FBN,,,,,,,,
BALN.SW,Baloise Hldg Reg,"7859 340,301",CH,INS,,,,,,,,
BARC.L,Barclays,"36,376 018,151",GB,BNK,,,,,,,,
BAS.DE,BASF SE,"61,859 560,650",DE,CHM,,,,,,,,
BATS.L,British American,"94,014 870,214",GB,TOB,,,,,,,,
BAYN.DE,Bayer AG,"67,899 111,120",DE,DRG,,,,,,,,
BBVA.MC,Banco Bilbao Vizcaya Argentaria SA,"33,226 080,921",ES,BNK,,,,,,,,
BDEV.L,Barratt Developments Tobacco PLC,"8981 456,822",GB,HOM,,,,,,,,
BEI.DE,Beiersdorf AG,"26,875 800,000",DE,COS,,,,,,,,
BHP.L,BHP Group Plc,"44,349 528,279",GB,MNX,,,,,,,,
BIRG.IR,Bank of Ireland Group,"5270 162,938",IE,BNK,,,,,,,,
BKG.L,Berkeley Group,"7860 684,449",GB,HOM,,,,,,,,
BLND.L,British Land Co,"7108 239,101",GB,REA,,,,,,,,
BMW.DE,Bayer Motoren Werke,"44,029 914,300",DE,AUT,,,,,,,,
BN.PA,danone,"50,625 564,500",FR,FOA,,,,,,,,
BNP.PA,BNP Paribas,"65,744 980,290",FR,BNK,,,,,,,,
BNR.DE,Brenntag AG,"7490 160,000",DE,TCD,,,,,,,,
BNZL.L,Bunzl,"8190 216,743",GB,TCD,,,,,,,,
BOL.ST,Boliden AB,"6478 950,144",SE,MNX,,,,,,,,
BP.L,BP p.l.c,"120,000 000,000",GB,OGX,,,,,,,,
BRBY.L,Burberry Group,"10,719 812,115",GB,TEX,,,,,,,,
BT-A.L,BT Group,"22,669 956,904",GB,TLS,,,,,,,,
BVI.PA,Bureau Veritas SA,"10,512 101,140",FR,PRO,,,,,,,,
CA.PA,Carrefour SA,"12,068 626,700",FR,FDR,,,,,,,,
CABK.MC,CaixaBank,"16,736 063,524",ES,BNK,,,,,,,,
CAP.PA,Capgemini SE,"18,218 316,600",FR,TSV,,,,,,,,
CARL-B.CO,Carlsberg AS B,"15,807 271,025",DK,BVG,,,,,,,,
CBK.DE,Commerzbank AG,"6909 259,086",DE,BNK,,,,,,,,
CCL.L,Carnival Plc,"9321 627,486",GB,TRT,,,,,,,,
CFR.SW,"Richemont, Cie","36,538 864,514",CH,TEX,,,,,,,,
CHR.CO,Christian Hansen Holding A/S,"9341 145,735",DK,LIF,,,,,,,,
CLN.SW,Clariant AG Reg,"6598 424,555",CH,CHM,,,,,,,,
CLNX.MC,Cellnex Telecom S.A.,"14,784 996,990",ES,TLS,,,,,,,,
CNA.L,Centrica,"6152 218,228",GB,MUW,,,,,,,,
CNHI.MI,CNH Industrial NV,"13,325 257,110",IT,IEQ,,,,,,,,
COLO-B.CO,Coloplast AS B,"21,897 018,624",DK,HEA,,,,,,,,
CON.DE,Continental AG,"23,052 691,560",DE,ATX,,,,,,,,
CPG.L,Compass Group,"35,582 324,369",GB,REX,,,,,,,,
CRDA.L,Croda Intl,"7981 408,595",GB,CHM,,,,,,,,
CRH,CRH Plc,"28,198 133,760",IE,COM,,,,,,,,
CS.PA,AXA,"60,928 360,380",FR,INS,,,,,,,,
CSGN.SW,Credit Suisse Group AG,"30,826 778,129",CH,FBN,,,,,,,,
DAI.DE,Daimler AG,"52,817 852,690",DE,AUT,,,,,,,,
DANSKE.CO,Danske Bank A/S,"12,437 947,310",DK,BNK,,,,,,,,
DASTY,Dassault Systemes SA,"38,532 098,400",FR,SOF,,,,,,,,
DB,Deutsche Bank AG,"14,295 868,841",DE,BNK,,,,,,,,
DB1.DE,Deutsche Boerse AG,"26,628 500,000",DE,FBN,,,,,,,,
DCC.L,DCC,"7836 826,228",IE,IDD,,,,,,,,
DG.PA,Vinci,"59,918 562,000",FR,CON,,,,,,,,
DGE.L,Diageo Plc,"97,310 307,888",GB,BVG,,,,,,,,
DLG.L,Direct Line Insurance,"5078 020,620",GB,INS,,,,,,,,
DNB.OL,DNB ASA,"26,283 427,706",NO,BNK,,,,,,,,
DPW.DE,Deutsche Post AG,"41,805 942,250",DE,TRA,,,,,,,,
DSM.AS,Koninklijke DSM NV,"21,063 442,500",NL,CHM,,,,,,,,
DSV.CO,Dsv Panalpina A/s,"24,146 014,608",DK,TRA,,,,,,,,
DTE.DE,Deutsche Telekom AG,"69,374 457,630",DE,TLS,,,,,,,,
DWNI.DE,Deutsche Wohnen AG BR,"13,100 456,100",DE,REA,,,,,,,,
EBS.VI,Erste Group Bank AG,"14,424 088,000",AT,BNK,,,,,,,,
EDEN.PA,Edenred,"11,211 750,500",FR,TSV,,,,,,,,
EH5:K52DF.PA,Electricite de France,"30,290 030,160",FR,ELC,,,,,,,,
EDP.LS,Energias de Portugal SA,"11,931 027,360",PT,ELC,,,,,,,,
EL.PA,EssilorLuxottica,"58,853 004,000",FR,TEX,,,,,,,,
ELE.MC,Endesa SA,"25,187 710,080",ES,ELC,,,,,,,,
ELISA.HE,Elisa Corporation,"8190 669,000",FI,TLS,,,,,,,,
ELUX-B.ST,Electrolux AB B,"6571 380,437",SE,DHP,,,,,,,,
EN.PA,Bouygues,"14,072 723,040",FR,CON,,,,,,,,
ENEL.MI,Enel SpA,"71,827 885,376",IT,ELC,,,,,,,,
ENG.MC,Enagas SA,"5428 811,160",ES,GAS,,,,,,,,
ENGI.PA,Engie,"34,731 072,000",FR,MUW,,,,,,,,
ENI.MI,ENI SpA,"50,318 925,510",IT,OGX,,,,,,,,
EOAN.DE,E.ON SE,"25,155 922,156",DE,MUW,,,,,,,,
EQNR.OL,Equinor ASA,"59,422 071,034",NO,OGX,,,,,,,,
ERIC-B.ST,Ericsson L.M. Telefonaktie B,"23,660 551,313",SE,CMT,,,,,,,,
EXO.MI,EXOR NV,"16,648 280,000",IT,FBN,,,,,,,,
EXPN.L,Experian Plc,"29,221 182,071",GB,PRO,,,,,,,,
EZJ.L,Easyjet,"6659 805,941",GB,AIR,,,,,,,,
FCA.MI,Fiat Chrysler Automobiles NV,"20,446 042,518",IT,AUT,,,,,,,,
FER.MC,Ferrovial SA,"19,942 211,340",ES,CON,,,,,,,,
FERG.L,Ferguson PLC,"18,780 339,920",GB,TCD,,,,,,,,
FGR.PA,Eiffage,"9996 000,000",FR,CON,,,,,,,,
FLTR.L,Flutter Entertainment plc,"8465 277,150",IE,CNO,,,,,,,,
FME.DE,Fresenius Medical Care AG,"20,259 086,320",DE,HEA,,,,,,,,
FORTUM.HE,Fortum Oyj,"19,544 074,000",FI,ELC,,,,,,,,
FP.PA,TOTAL SA,"131,000 000,000",FR,OGX,,,,,,,,
FR.PA,Valeo,"7546 346,730",FR,ATX,,,,,,,,
G.MI,Assicurazioni Generali SpA,"28,638 458,095",IT,INS,,,,,,,,
G1A.DE,GEA AG,"5320 904,160",DE,IEQ,,,,,,,,
GALP.LS,Galp Energia SGPS SA,"11,490 447,900",PT,OGX,,,,,,,,
GBLB.BR,Groupe Bruxelles Lambert,"15,161 197,680",BE,FBN,,,,,,,,
GEBN.SW,Geberit AG Reg,"18,517 002,581",CH,BLD,,,,,,,,
GFC.PA,Gecina,"12,155 614,800",FR,REA,,,,,,,,
GFS.L,G4S Plc,"3997 388,193",GB,ICS,,,,,,,,
GIVN.SW,Givaudan AG,"25,757 519,041",CH,DRG,,,,,,,,
GLE.PA,Societe Generale,"26,292 438,995",FR,INS,,,,,,,,
GLEN.L,Glencore Plc,"40,569 355,368",GB,MNX,,,,,,,,
GLPG.AS,Galapagos Genomics NV,"12,060 395,500",BE,BTC,,,,,,,,
GMAB.CO,Genmab AS,"12,880 438,320",DK,BTC,,,,,,,,
GRF.MC,Grifols SA,"13,393 265,900",ES,BTC,,,,,,,,
GSK.L,GlaxoSmithKline,"113,000 000,000",GB,DRG,,,,,,,,
GVC.L,GVC Holdings PLC,"6041 813,756",GB,CNO,,,,,,,,
HEI.DE,HeidelbergCement AG,"12,889 103,360",DE,COM,,,,,,,,
HEIA.AS,Heineken NV,"54,674 204,760",NL,BVG,,,,,,,,
HEN3.DE,Henkel AG & Co. KGaA,"16,426 628,600",DE,HOU,,,,,,,,
HEXA-B.ST,Hexagon AB,"17,520 937,593",SE,ITC,,,,,,,,
HL.L,Hargreaves Lansdown Plc,"10,846 590,177",GB,FBN,,,,,,,,
HLMA.L,Halma,"9449 553,980",GB,ITC,,,,,,,,
HM-B.ST,Hennes & Mauritz AB B,"26,521 955,023",SE,RTS,,,,,,,,
HNR1.DE,Hannover Ruck SE,"20,778 863,100",DE,INS,,,,,,,,
HO.PA,Thales,"19,586 946,600",FR,ARO,,,,,,,,
HSBA.L,HSBC Holdings Plc,"144,000 000,000",GB,BNK,,,,,,,,
IAG.L,International Consolidated,"14,713 577,672",GB,AIR,,,,,,,,
IMB.L,Imperial Brands PLC,"22,548 389,450",GB,TOB,,,,,,,,
IMI.L,IMI,"3988 017,359",GB,PRO,,,,,,,,
INDU-A.ST,Industrivarden AB A,"5938 978,289",SE,FBN,,,,,,,,
INF.L,Informa PLC,"12,676 181,930",GB,PUB,,,,,,,,
INGA.AS,ING Groep NV,"41,645 321,728",NL,BNK,,,,,,,,
IBE.MC,Iberdrola SA,"58,403 820,960",ES,ELC,,,,,,,,
IFX.DE,Infineon Technologies AG,"25,391 338,590",DE,SEM,,,,,,,,
IHG.L,InterContinental Hotels,"11,553 634,759",GB,TRT,,,,,,,,
III.L,3I Group,"12,602 800,553",GB,FBN,,,,,,,,
INVE-B.ST,Investor AB B,"22,195 627,041",SE,FBN,,,,,,,,
ISP.MI,Intesa SanPaolo,"41,114 341,692",IT,BNK,,,,,,,,
ITRK.L,Intertek Group PLC,"11,119 592,874",GB,PRO,,,,,,,,
ITV.L,ITV PLC,"7183 377,677",GB,PUB,,,,,,,,
ITX.MC,Inditex SA,"98,018 642,500",ES,RTS,,,,,,,,
JMAT.L,"Johnson, Matthey","7043 813,456",GB,CHM,,,,,,,,
KBC.BR,KBC Group NV,"27,961 807,020",BE,BNK,,,,,,,,
KER.PA,Kering,"73,803 668,400",FR,TEX,,,,,,,,
KGP.L,Kingspan Group PLC,"9888 392,250",IE,BLD,,,,,,,,
KINV-B.ST,Kinnevik Investment AB B,"5280 737,098",SE,FBN,,,,,,,,
KNEBV.HE,Kone Corp B,"26,178 851,480",FI,IEQ,,,,,,,,
KNIN.SW,KUEHNE & NAGEL,"18,023 105,439",CH,TRA,,,,,,,,
KPN.AS,Koninklijke KPN NV,"11,057 682,564",NL,TLS,,,,,,,,
KYGA.L,Kerry Group A,"19,531 935,500",IE,FOA,,,,,,,,
LAND.L,Land Securities Group PLC,"8789 760,224",GB,REA,,,,,,,,
LDO.MI,Leonardo S.p.a.,"6041 667,500",IT,ARO,,,,,,,,
LEG.DE,LEG Immobilien AG,"7237 880,150",DE,REA,,,,,,,,
LGEN.L,Legal & General Group,"21,154 473,153",GB,BNK,,,,,,,,
LHA.DE,Deutsche Lufthansa AG,"7772 662,140",DE,AIR,,,,,,,,
LHN.SW,LafargeHolcim Ltd,"30,439 194,891",CH,COM,,,,,,,,
LI.PA,Klepierre,"10,406 302,400",FR,REA,,,,,,,,
LISN.SW,Lindt & Sprungli AG Reg,"10,701 218,854",CH,FOA,,,,,,,,
LLOY.L,Lloyds Banking,"51,831 247,152",GB,BNK,,,,,,,,
LOGN.SW,Logitech International SA,"7301 174,195",CH,THQ,,,,,,,,
LONN.SW,Lonza AG,"24,206 078,639",CH,LIF,,,,,,,,
LR.PA,Legrand Promesses,"19,234 418,240",FR,ELQ,,,,,,,,
LSE.L,London Stock,"32,084 185,501",GB,FBN,,,,,,,,
LXS.DE,Lanxess AG,"5231 139,360",DE,CHM,,,,,,,,
MAERSK-A.CO,AP Moller - Maersk AS A,"12,997 745,612",DK,TRA,,,,,,,,
MB.MI,Mediobanca SpA,"8648 440,290",IT,BNK,,,,,,,,
MC.PA,LVMH-Moet Vuitton,"211,000 000,000",FR,TEX,,,,,,,,
MCRO.L,Micro Focus International,"4561 232,100",GB,PRO,,,,,,,,
MKS.L,Marks & Spencer Group,"4920 181,628",GB,FDR,,,,,,,,
ML.PA,Michelin CGDE B Brown,"19,645 200,600",FR,ATX,,,,,,,,
MNDI.L,Mondi PLC,"10,171 043,700",GB,FRP,,,,,,,,
MONC.MI,Moncler SpA,"10,336 016,430",IT,TEX,,,,,,,,
MOWI.OL,Mowi ASA,"11,942 557,638",NO,FOA,,,,,,,,
MRK.DE,MERCK KGaA,"13,615 644,700",DE,DRG,,,,,,,,
MRO.L,Melrose Industries PLC,"13,785 236,033",GB,IEQ,,,,,,,,
MRW.L,Morrison (WM),"5650 440,187",GB,FDR,,,,,,,,
MT.AS,ArcelorMittal Inc,"15,888 392,784",LU,STL,,,,,,,,
MTX.DE,MTU Aero Engines AG,"13,239 200,000",DE,ARO,,,,,,,,
MUV2.DE,Munich Re AG,"37,955 634,000",DE,INS,,,,,,,,
NDA-FI.HE,Nordea Bank Abp,"29,111 104,460",FI,BNK,,,,,,,,
NESN.SW,Nestle SA Reg,"287,000 000,000",CH,FOA,,,,,,,,
NESTE.HE,Neste Oyj,"23,860 956,240",FI,OGR,,,,,,,,
NG.L,National Grid PLC,"41,881 362,823",GB,MUW,,,,,,,,
NHY.OL,Norsk Hydro AS,"6848 706,583",NO,ALU,,,,,,,,
NN.AS,NN Group N.V.,"11,619 063,920",NL,INS,,,,,,,,
NOKIA.HE,Nokia OYJ,"18,561 447,072",FI,CMT,,,,,,,,
NOVN.SW,Novartis AG Reg,"216,000 000,000",CH,DRG,,,,,,,,
NOVO-B.CO,Novo Nordisk AS B,"96,373 738,885",DK,DRG,,,,,,,,
NTGY.MC,Naturgy Energy Group SA,"22,044 332,800",ES,GAS,,,,,,,,
NXT.L,Next,"11,049 786,129",GB,RTS,,,,,,,,
NZYM-B.CO,Novozymes AS B,"10,350 570,630",DK,CHM,,,,,,,,
OCDO.L,Ocado Group PLC,"10,685 197,490",GB,RTS,,,,,,,,
OMV.VI,OMV AG,"16,389 831,840",AT,OGX,,,,,,,,
OR.PA,L’Oreal,"147,000 000,000",FR,COS,,,,,,,,
ORA.PA,Orange,"34,750 589,760",FR,TLS,,,,,,,,
ORK.OL,Orkla AS,"9034 708,498",NO,FOA,,,,,,,,
PAH3.DE,Porsche Automobil,"10,204 250,000",DE,AUT,,,,,,,,
PGHN.SW,Partners Group Hldg,"21,805 141,471",CH,REA,,,,,,,,
PHIA.AS,Koninklijke Philips,"39,397 568,000",NL,MTC,,,,,,,,
PNDORA.CO,Pandora A/S,"3878 179,176",DK,TEX,,,,,,,,
PROX.BR,Proximus,"8626 398,000",BE,ELQ,,,,,,,,
PRU.L,Prudential PLC,"44,280 510,043",GB,INS,,,,,,,,
PRY.MI,Prysmian SpA,"5762 414,560",IT,ELQ,,,,,,,,
PSN.L,Persimmon,"10,114 746,939",GB,HOM,,,,,,,,
PSON.L,Pearson,"5876 761,866",GB,PUB,,,,,,,,
PUB.PA,Publicis Groupe,"9701 292,840",FR,PUB,,,,,,,,
QIA.DE,QIAGEN NV,"6913 384,360",DE,LIF,,,,,,,,
RACE.MI,Ferrari NV,"28,681 211,700",IT,AUT,,,,,,,,
RAND.AS,Randstad NV,"9960 451,280",NL,PRO,,,,,,,,
RB.L,Reckitt Benckiser,"53,348 811,760",GB,HOU,,,,,,,,
RDSA.L,Royal Dutch Shell PLC,"110,000 000,000",GB,OGX,,,,,,,,
REE.MC,Red Electrica,"9698 859,000",ES,ELC,,,,,,,,
REL.L,RELX PLC,"45,300 422,373",GB,PRO,,,,,,,,
REP.MC,Repsol SA,"22,271 158,630",ES,OGX,,,,,,,,
RI.PA,Pernod-Ricard,"42,290 573,400",FR,BVG,,,,,,,,
RIO.L,Rio Tinto PLC,"67,920 021,937",GB,MNX,,,,,,,,
RMS.PA,Hermes Intl,"70,330 067,800",FR,TEX,,,,,,,,
RNO.PA,Renault SA,"12,473 553,960",FR,AUT,,,,,,,,
ROG.SW,Roche Hldgs AG,"203,000 000,000",CH,DRG,,,,,,,,
RR.L,Rolls-Royce Holdings PLC,"15,590 884,245",GB,ARO,,,,,,,,
RSA.L,RSA Insurance Group PLC,"6861 117,604",GB,INS,,,,,,,,
RTO.L,Rentokil Initial,"9836 210,575",GB,ICS,,,,,,,,
RWE.DE,RWE AG,"16,813 303,100",DE,MUW,,,,,,,,
RY4C.IR,Ryanair Holdings PLC,"15,859 007,780",IE,AIR,,,,,,,,
SAB.MC,Banco de Sabadell SA,"5840 797,040",ES,BNK,,,,,,,,
SAF.PA,Safran SA,"56,314 955,050",FR,ARO,,,,,,,,
SAMPO.HE,Sampo Oyj A,"21,562 054,320",FI,INS,,,,,,,,
SAN.MC,Banco Santander SA,"61,985 568,950",ES,BNK,,,,,,,,
SAN.PA,Sanofi-Aventis,"113,000 000,000",FR,DRG,,,,,,,,
SAND.ST,Sandvik AB,"21,857 965,979",SE,IEQ,,,,,,,,
SAP.DE,SAP SE,"148,000 000,000",DE,SOF,,,,,,,,
SBRY.L,Sainsbury (J),"6008 030,226",GB,FDR,,,,,,,,
SCA-B.ST,SCA - B shares,"5774 424,878",SE,FRP,,,,,,,,
SCHN.SW,Schindler-Hldg AG Reg,"14,642 544,020",CH,IEQ,,,,,,,,
SCMN.SW,Swisscom AG Reg,"24,437 307,425",CH,TLS,,,,,,,,
SCR.PA,SCOR SE,"6980 326,800",FR,INS,,,,,,,,
SDR.L,Schroders PLC,"8905 494,694",GB,FBN,,,,,,,,
SEB-A.ST,SEB-Skand Enskilda,"18,219 828,720",SE,BNK,,,,,,,,
SECU-B.ST,Securitas AB B,"5354 462,712",SE,ICS,,,,,,,,
SESG.PA,SES,"4793 225,000",LU,PUB,,,,,,,,
SEV.PA,Suez SA,"8406 050,055",FR,MUW,,,,,,,,
SGE.L,Sage Group,"9912 283,546",GB,SOF,,,,,,,,
SGO.PA,"Saint-Gobain, Cie de","19,940 789,500",FR,BLD,,,,,,,,
SGRO.L,SEGRO PLC,"11,627 787,008",GB,REA,,,,,,,,
SGSN.SW,SGS-Soc Gen Surveil,"18,624 735,178",CH,PRO,,,,,,,,
SHB-A.ST,Svenska Handelsbanken A,"18,699 691,239",SE,BNK,,,,,,,,
SIE.DE,Siemens AG,"99,059 000,000",DE,IDD,,,,,,,,
SK3.IR,Smurfit Kappa Group PLC,"8096 425,980",IE,CTR,,,,,,,,
SKA-B.ST,SKANSKA AB-B,"8072 421,673",SE,CON,,,,,,,,
SKF-B.ST,SKF AB B,"7588 180,375",SE,IEQ,,,,,,,,
SLA.L,Standard Life Aberdeen,"9100 512,935",GB,FBN,,,,,,,,
SLHN.SW,Swiss Life Reg,"15,019 669,587",CH,INS,,,,,,,,
SMDS.L,DS Smith,"6209 762,969",GB,CTR,,,,,,,,
SMIN.L,Smiths Group,"7829 724,427",GB,IDD,,,,,,,,
SN.L,Smith & Nephew,"19,295 676,774",GB,MTC,,,,,,,,
SOLB.BR,Solvay,"10,936 990,800",BE,CHM,,,,,,,,
SOON.SW,Sonova Holding AG,"13,127 267,443",CH,MTC,,,,,,,,
SPSN.SW,Swiss Prime Site AG,"7821 016,722",CH,REA,,,,,,,,
SPX.L,Spirax-Sarco Engineering,"7724 540,020",GB,IEQ,,,,,,,,
SREN.SW,Swiss Re Reg,"32,752 395,869",CH,INS,,,,,,,,
SRG.MI,Snam SpA,"15,908 224,926",IT,GAS,,,,,,,,
SSE.L,Scottish & Southern Energy,"17,583 650,712",GB,ELC,,,,,,,,
STAN.L,Standard Chartered,"26,909 227,396",GB,BNK,,,,,,,,
STERV.HE,Stora Enso OYJ R,"7939 610,420",FI,FRP,,,,,,,,
STJ.L,St James’s Place,"7280 987,158",GB,FBN,,,,,,,,
STM.MI,STMicroelectronics NV,"21,820 346,430",IT,SEM,,,,,,,,
STMN.SW,Straumann AG Reg,"13,888 578,547",CH,MTC,,,,,,,,
SU.PA,Schneider Electric SE,"53,251 444,500",FR,ELQ,,,,,,,,
SVT.L,Severn Trent,"7138 539,011",GB,MUW,,,,,,,,
SW.PA,Sodexo,"15,578 620,750",FR,REX,,,,,,,,
SWED-A.ST,Swedbank AB,"15,047 719,773",SE,BNK,,,,,,,,
SWMA.ST,Swedish Match AB,"7821 532,927",SE,TOB,,,,,,,,
SY1.DE,Symrise AG,"12,703 052,600",DE,CHM,,,,,,,,
TATE.L,Tate & Lyle,"4187 414,119",GB,FOA,,,,,,,,
TEF.MC,Telefonica SA,"32,331 405,964",ES,TLS,,,,,,,,
TEL.OL,Telenor ASA,"23,032 664,468",NO,TLS,,,,,,,,
TEL2-B.ST,Tele2 AB B,"8621 912,671",SE,TLS,,,,,,,,
TELIA.ST,Telia Company AB,"16,151 169,427",SE,TLS,,,,,,,,
TEMN.SW,Temenos Group AG,"10,213 002,525",CH,SOF,,,,,,,,
TEN.MI,Tenaris SA,"11,864 396,850",IT,OGX,,,,,,,,
TEP.PA,Teleperformance,"12,735 509,400",FR,PRO,,,,,,,,
TIT.MI,Telecom Italia SpA,"8459 017,637",IT,TLS,,,,,,,,
TKA.DE,ThyssenKrupp AG,"7495 285,280",DE,IDD,,,,,,,,
TPK.L,Travis Perkins,"4730 642,257",GB,TCD,,,,,,,,
TRN.MI,Terna SpA,"11,913 412,186",IT,ELC,,,,,,,,
TSCO.L,Tesco,"29,294 351,743",GB,FDR,,,,,,,,
TUI1.DE,TUI AG,"6612 159,756",DE,TRT,,,,,,,,
UBI.PA,Ubisoft Entertainment SA,"6939 327,040",FR,IMS,,,,,,,,
UBSG.SW,UBS Group AG,"43,098 836,809",CH,FBN,,,,,,,,
UCB.BR,UCB SA,"13,790 475,400",BE,DRG,,,,,,,,
UCG.MI,Unicredit SpA Ord,"28,956 662,280",IT,BNK,,,,,,,,
UG.PA,Peugeot SA,"19,272 836,400",FR,AUT,,,,,,,,
UHR.SW,Swatch Group AG-B,"7663 132,882",CH,TEX,,,,,,,,
UMI.BR,Umicore,"10,683 904,000",BE,CHM,,,,,,,,
UNA.AS,Unilever NV,"79,136 415,440",NL,COS,,,,,,,,
UPM.HE,UPM-Kymmene Oyj,"16,448 725,590",FI,FRP,,,,,,,,
URW.AS,Unibail Rodamco Westfield,"19,358 644,050",FR,REA,,,,,,,,
UTDI.DE,United Internet AG Reg,"6002 400,000",DE,TLS,,,,,,,,
UU.L,United Utilities Group Plc,"7602 365,565",GB,MUW,,,,,,,,
VIE.PA,Veolia Environnement,"13,332 180,420",FR,MUW,,,,,,,,
VIFN.SW,Vifor Pharma Group,"10,567 085,500",CH,DRG,,,,,,,,
VIV.PA,Vivendi SA,"30,564 528,280",FR,PUB,,,,,,,,
VNA.DE,Vonovia SE,"26,029 152,000",DE,REA,,,,,,,,
VOD.L,Vodafone Group,"49,971 317,452",GB,TLS,,,,,,,,
VOLV-B.ST,Volvo AB B,"24,537 431,397",SE,AUT,,,,,,,,
VOW.DE,Volkswagen AG,"51,124 342,500",DE,AUT,,,,,,,,
VWS.CO,Vestas Wind Systems AS,"17,918 957,786",DK,IEQ,,,,,,,,
WDI.DE,Wirecard AG,"13,275 282,500",DE,FBN,,,,,,,,
WEIR.L,Weir Group,"4631 300,556",GB,IEQ,,,,,,,,
WKL.AS,Wolters Kluwer NV,"17,751 500,320",NL,PRO,,,,,,,,
WPP.L,WPP Plc,"16,725 083,182",GB,PUB,,,,,,,,
WRT1V.HE,Wartsila Oyj ABP,"5828 501,100",FI,IEQ,,,,,,,,
WTB.L,Whitbread,"8407 368,452",GB,TRT,,,,,,,,
YAR.OL,Yara International ASA,"10,188 092,051",NO,CHM,,,,,,,,
ZURN.SW,Zurich Insurance Group AG,"55,011 937,615",CH,INS,,,,,,,,